,Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points
112422,3375,22,85,19,2782,239,192,685
32704,3020,19,335,83,1510,163,232,3234
99223,3124,28,150,11,751,254,195,1608
107403,3217,7,721,156,6210,206,246,1572
19863,3332,22,270,95,2210,211,185,1167
58412,3058,28,201,42,1374,177,172,1418
113255,3314,10,30,0,1158,234,223,1350
21772,2759,7,446,43,1714,225,226,2067
61983,3017,9,466,52,1290,237,232,2017
75541,2739,8,295,31,1282,203,230,2282
2854,3273,12,0,0,1506,240,228,2938
71689,2958,21,150,26,3144,158,229,1345
55875,2978,10,437,59,4752,210,218,6185
110301,2916,9,218,13,5287,195,242,4549
3313,2818,10,319,123,1100,207,220,433
32216,3237,19,30,1,1922,219,194,4585
44461,2719,13,95,1,1429,228,211,553
34168,2730,15,525,130,1513,226,206,2338
64585,3198,7,153,-20,3398,200,242,1463
16367,2865,14,153,32,3824,239,236,3373
107965,3005,14,400,53,247,182,229,870
109241,2780,11,150,21,742,208,218,2340
62503,3053,19,240,38,1758,237,239,1120
42799,2930,11,255,62,1410,231,217,2101
65142,2972,13,426,66,5865,201,252,3168
54595,2975,5,120,7,4054,220,229,5519
25359,3468,9,552,99,5037,194,235,4385
111437,3142,17,124,27,5365,225,201,2737
97319,3168,14,60,3,3186,244,223,3736
61981,3641,19,1072,356,2530,235,198,1253
27054,3300,9,390,71,1115,221,247,1110
41640,2783,13,60,10,2720,208,212,4476
58253,3265,37,421,142,2753,202,234,3058
65742,2857,15,234,17,4528,242,214,4871
81849,2738,21,277,58,1879,249,222,2230
74530,3168,16,721,-43,745,218,251,1994
104441,2952,20,295,64,1745,183,202,1434
36605,2656,6,30,0,949,224,228,2074
53272,2503,5,30,-2,242,222,228,1518
78124,3350,29,255,150,4385,158,177,3878
28144,3048,8,666,-10,120,224,245,1172
103973,3127,15,342,59,283,180,223,1570
78163,2950,22,300,38,891,241,194,698
32817,3121,12,360,28,2012,230,215,2241
16249,2449,7,309,79,1062,221,224,883
91441,3183,19,591,247,1645,249,221,2810
33042,2317,14,120,35,1536,182,230,631
25142,2784,18,85,23,2037,190,203,1084
11287,3193,20,792,369,1565,162,227,789
79123,2949,11,0,0,4452,228,216,3740
17317,3146,5,67,4,3241,228,239,4331
76250,2971,12,430,19,4254,235,216,4608
12694,3256,13,864,66,2087,201,215,626
6755,3292,8,108,58,4696,198,233,658
56496,2881,16,108,26,3442,173,230,2663
10366,3396,10,966,157,2942,226,246,1749
70146,3255,23,577,94,1262,251,204,1756
101926,2717,24,170,96,2166,203,252,503
109853,3004,16,240,48,4334,246,219,780
16869,2854,13,212,36,3730,224,248,3353
109075,3105,3,324,83,4813,215,233,306
113310,2987,21,503,278,2535,172,251,1048
22309,3390,18,210,80,3756,175,249,994
40050,2727,19,162,70,2100,248,224,2738
77334,3269,11,660,-5,2315,202,221,779
25959,3002,11,339,40,819,220,215,815
63367,3149,7,134,17,6534,224,224,2015
73194,3041,10,242,37,5536,224,219,4283
9760,2989,5,30,8,1092,226,230,1655
101976,2951,12,703,74,722,214,215,1170
95550,2858,7,30,3,3101,201,234,4073
90392,2744,30,153,33,1199,152,174,1806
36177,3075,6,30,1,2698,204,236,531
4704,2954,7,42,5,1907,231,237,216
86658,2971,14,180,-1,1717,230,245,1187
38406,3158,2,0,0,920,222,236,2274
68644,2719,6,240,8,1140,230,236,1895
39614,3106,17,85,16,1790,247,223,2489
71093,3310,19,240,49,5366,197,199,571
43378,3051,21,134,39,2352,176,252,1645
74324,2890,16,67,11,3590,246,222,5072
96020,2138,18,30,1,1191,169,225,601
84049,3343,12,450,95,685,202,217,1816
31490,3331,11,726,2,764,224,247,4558
10137,3294,22,531,156,1040,195,254,4484
29122,3331,4,769,36,780,211,235,1205
44,2702,8,120,8,671,233,238,1614
44542,2825,4,0,0,474,220,231,390
31527,2550,23,300,86,582,197,184,384
53136,2842,14,247,51,2190,234,211,1885
114410,2969,11,192,45,3744,200,221,1415
53066,2636,11,85,7,782,207,219,1566
74538,2906,18,395,93,3297,196,201,2359
23537,3066,16,589,49,1507,224,248,808
14341,3166,11,242,-19,1248,196,226,779
17555,2956,21,85,26,684,250,211,2335
83002,2785,11,175,30,2935,230,218,5852
103966,2726,12,150,41,1784,237,218,218
32032,2662,18,162,21,1950,247,225,713
48970,2345,18,95,31,170,234,200,721
112200,3228,24,484,91,1245,197,182,242
108599,2844,6,335,43,3395,226,228,6391
4689,3281,17,85,3,1423,243,233,2952
64460,2770,15,30,-1,1711,219,250,2343
74111,2897,7,216,27,2106,233,231,2560
59691,2993,19,234,60,721,213,195,1812
35156,2955,15,295,16,5918,240,236,3396
33619,2941,8,454,30,2711,231,241,2347
102285,3249,11,201,12,4336,190,233,594
96246,2146,27,150,51,457,253,197,721
50173,2748,15,323,60,1663,212,206,1008
107433,2972,40,234,73,872,81,196,2713
88579,3230,8,361,-8,1637,219,222,1200
51682,3406,4,810,200,1565,217,244,1622
30039,2969,4,553,16,902,220,230,2032
108870,2683,16,362,31,966,242,213,1825
59802,2918,21,120,46,3443,207,253,2190
109265,2987,9,277,39,4137,223,221,1965
85681,3272,17,360,58,858,237,240,2555
56415,2864,20,60,11,1959,173,250,1383
473,2754,10,382,-5,914,235,222,2556
36353,3442,18,382,84,780,167,239,1203
3896,3096,3,331,19,2490,225,236,2037
71671,2950,30,192,41,2553,153,174,1973
49189,3186,32,277,149,3763,254,193,2738
48815,3233,12,295,31,2616,230,244,1237
56885,2880,16,509,38,2504,211,204,2109
16353,3065,9,150,14,2732,217,220,1718
89168,2918,2,351,127,1405,216,235,2461
34392,2963,7,457,42,5190,230,228,2793
100425,2536,32,30,11,1777,172,250,404
94406,3382,10,362,18,2398,222,247,437
99330,3049,20,134,16,4662,246,204,976
110307,2609,5,120,0,811,221,229,5701
78036,3053,12,247,8,1657,228,214,2844
63287,2667,23,127,35,2448,249,198,2385
14543,2952,20,255,63,2242,249,220,1953
36953,3006,12,216,26,4373,197,221,800
94207,2955,7,295,64,780,222,225,1936
53437,2626,9,408,81,1616,223,246,1907
60676,3151,13,150,56,4700,182,237,1206
54550,3036,14,424,125,5346,192,251,778
69340,2480,7,60,11,90,215,226,376
10757,3051,16,671,224,1201,245,217,781
43053,2855,15,120,45,120,242,214,1112
110723,2939,9,120,0,5656,206,222,3675
82359,3237,15,242,35,2535,244,221,1489
6241,2907,4,30,1,1060,227,235,2969
6231,2913,5,210,-12,3788,226,230,6043
59343,3016,18,300,5,1025,246,211,2513
56762,3188,21,660,264,2093,222,189,2430
94518,3361,12,1060,122,2742,224,247,1895
39690,3858,15,849,82,4413,199,209,2468
63792,2859,12,150,49,150,200,218,402
111701,3156,24,618,244,2206,217,181,2271
820,2704,16,67,18,1142,240,210,2076
12368,2293,19,150,40,404,172,248,532
77826,2816,17,60,8,3836,246,217,3069
110146,3027,11,242,43,1065,197,224,2438
63658,2666,20,108,17,2230,248,206,2561
13996,2855,9,474,183,1053,234,228,598
59820,2756,26,150,61,1146,148,200,451
85318,3101,4,30,2,2113,207,238,1090
86737,2911,18,283,25,1697,228,246,1590
32522,3193,16,85,9,3024,224,248,323
65144,3005,17,134,39,210,171,231,870
44609,2919,8,306,4,3945,231,225,5783
69505,2849,2,0,0,2792,221,239,2551
2173,2812,10,285,39,2293,236,233,2716
38594,2869,3,162,28,3034,215,234,2869
31755,2631,16,182,41,2184,181,217,1637
73759,3138,13,362,56,1920,240,218,3227
56189,3122,19,402,56,3578,206,197,765
3253,2991,17,67,3,2042,186,252,1302
68215,2779,49,201,120,212,219,99,1423
18063,2828,6,0,0,1390,226,229,2502
655,3365,13,342,7,1761,220,249,3803
58787,3123,14,255,76,4884,243,225,1771
13098,3100,12,400,41,424,223,248,1328
74295,3399,15,466,107,2708,183,248,1261
54825,2419,2,150,70,1146,221,235,907
16536,2741,26,120,35,1865,236,179,1321
53929,3347,13,513,68,3359,215,212,2215
54179,3008,4,272,23,1954,209,236,1292
40835,3111,15,85,4,2873,231,207,2067
82038,3303,10,967,89,1034,192,237,2412
53961,2917,15,182,70,1652,224,248,2336
45834,3187,12,30,-1,5393,226,247,1075
106628,2614,15,450,42,700,239,211,2787
69766,3189,3,371,14,690,217,242,1155
95822,3056,19,760,288,1865,200,196,2135
73766,2993,6,470,0,3302,216,227,5716
94106,2926,7,0,0,3758,216,225,6362
39176,2664,16,30,-3,1710,239,238,1006
70944,3187,25,153,24,4891,245,187,1426
73837,3027,6,497,55,5481,219,227,6439
105954,3168,2,277,29,2774,220,234,3684
114559,3173,8,342,-12,1149,201,229,726
53564,2224,23,42,16,1482,249,222,469
1576,3039,15,67,16,785,196,252,942
47494,2885,12,335,110,1880,238,237,1260
44832,2747,3,85,0,1806,212,237,768
69313,2954,21,212,43,2317,248,205,1924
41569,3153,21,513,107,3075,246,201,781
98951,2482,13,30,-3,182,233,213,1320
101637,3002,16,124,36,1464,220,203,1397
65163,2540,2,108,12,1008,222,239,5036
4508,2805,12,120,18,630,241,224,162
20265,2100,39,216,207,242,88,205,216
31102,2802,12,153,36,2151,229,215,674
8092,2686,20,30,4,1288,201,254,1587
92642,2826,17,342,38,1573,204,201,2308
58173,2772,14,150,29,1866,184,224,2518
9561,3031,19,201,51,4497,201,198,256
31144,2588,14,201,58,912,230,211,1187
48042,2929,8,335,91,579,221,223,524
53216,3156,8,306,9,1072,231,241,2264
4404,1984,13,90,15,150,232,214,323
78361,2926,11,256,26,5416,215,250,5110
11588,3094,18,466,80,2553,239,238,2931
19064,3087,11,277,59,1431,189,232,1505
40915,2730,37,150,98,767,154,245,1549
69170,3021,15,430,-19,5627,218,250,2904
24763,3117,17,258,36,108,172,241,2405
45016,3111,4,124,-7,2066,222,241,2090
6559,2200,23,201,51,124,240,191,424
34997,2956,10,216,30,1556,200,248,1275
15632,2306,8,0,0,726,234,233,742
105421,2264,11,0,0,911,194,227,458
88528,2716,22,95,22,1366,229,187,1065
27343,3066,9,67,8,1719,204,224,1154
17785,3166,9,270,29,2124,201,227,731
110227,2962,12,0,0,1199,186,241,361
44826,3272,20,272,65,2102,249,214,1947
51681,3323,15,782,109,1047,218,251,2445
45980,3111,13,30,0,3697,183,236,1983
12456,2501,24,180,74,1319,147,233,750
90713,3039,6,190,24,3305,213,227,1706
37277,2796,26,283,147,1206,214,175,564
43044,3200,21,295,94,240,158,230,684
47484,3046,19,190,33,3513,169,215,5094
60056,2988,8,323,23,953,207,227,2118
73434,3001,7,30,-2,3478,225,226,5222
87682,2619,6,42,-1,883,204,236,1758
105945,2635,12,30,0,1154,230,216,866
21822,2975,9,108,18,4868,235,226,1315
60620,2132,26,190,93,433,148,203,642
94091,3024,12,402,0,3769,202,217,2588
93577,2884,6,300,48,2793,205,243,2345
63991,3463,15,277,16,1397,177,237,1795
85767,2928,6,216,21,5075,204,239,1744
62168,2639,10,0,0,1632,205,221,1214
13659,2781,4,30,3,2011,211,232,1476
9169,3001,23,459,120,774,241,233,2510
67878,3194,19,430,0,994,228,195,1441
69171,2754,17,150,-40,134,183,213,702
108774,3046,14,42,7,1642,181,240,1848
34444,3073,21,379,60,4660,225,189,466
71888,2494,31,108,64,1208,172,250,1237
99212,2955,19,402,60,930,173,211,1691
67257,3051,9,95,5,3483,230,221,558
96423,3334,19,638,195,2546,174,213,272
44530,3163,8,90,10,841,207,247,1604
80035,3139,15,85,10,6557,216,251,2188
72891,3042,6,485,62,1342,220,226,2497
93589,3250,9,569,-24,2643,200,246,331
15509,3277,14,42,7,3331,241,217,1353
1866,2617,24,42,11,1518,244,190,218
111869,2404,21,108,4,570,235,193,497
22718,2902,23,124,26,3991,176,194,2701
31333,3079,7,90,6,3630,221,224,1542
36691,3032,3,480,-36,1838,212,234,2251
26857,2491,24,108,38,847,253,209,792
94214,2950,5,90,7,1842,229,234,2486
47039,2064,5,0,0,937,228,233,201
97748,3110,23,430,65,3398,164,249,1455
47306,2639,16,408,54,1422,223,204,4160
8563,2785,8,67,5,819,225,223,2949
28808,2882,17,60,18,2039,171,228,990
16617,3005,5,661,95,1517,209,234,2174
90219,2584,27,180,97,750,254,202,1022
71866,2990,22,430,109,757,241,234,2523
113801,2830,26,379,163,400,221,175,1907
34652,2815,5,192,17,540,219,228,541
105972,2871,8,60,13,1708,198,240,1273
9975,2902,18,531,34,1758,230,198,2743
38831,2930,17,658,50,1158,196,204,780
87423,3015,16,930,215,2820,205,253,1390
50025,2715,9,242,35,1371,236,232,1802
71578,2935,19,391,144,1579,166,242,2472
16440,2911,22,190,24,1871,156,213,2590
56072,2785,11,0,0,1153,224,216,1781
50264,3150,21,582,40,1084,187,195,1597
19849,2962,7,30,0,1622,229,241,3544
99928,2945,28,190,54,5464,133,226,858
57116,2749,26,212,101,1190,192,174,1054
53381,2996,6,190,29,4500,218,246,1897
12650,2929,17,134,33,5697,231,244,4837
108901,3395,12,331,39,2911,229,245,1827
108622,2752,21,108,-43,95,216,190,443
102835,3822,14,799,46,4265,226,209,2343
110821,2986,3,424,5,1890,211,237,1024
5396,3150,13,437,67,212,216,251,1911
77270,2785,11,190,0,1126,233,220,2491
43742,3145,14,234,40,170,238,237,2155
113972,3136,7,95,2,785,221,224,5129
1273,3016,4,959,218,2833,220,230,1087
14221,2780,13,150,27,3095,229,245,2852
30025,3395,32,212,55,3073,240,163,1947
9667,2929,19,108,20,4626,248,212,5767
4244,2958,8,201,9,1888,198,233,124
51475,2097,30,30,9,1064,168,252,324
67208,2801,39,270,157,1590,98,224,1366
21030,2872,11,361,74,3171,221,216,424
95315,3044,17,811,-15,1405,214,199,2049
14529,3259,10,150,-4,1265,236,237,3061
73459,2838,12,60,8,2681,240,231,2531
66958,2762,7,153,29,2652,232,231,5678
85897,2896,11,247,98,1206,228,245,2804
39674,2563,21,366,92,1020,194,192,1639
1879,3404,13,918,194,779,242,226,134
4007,2707,11,95,-16,1505,229,217,1031
67877,2835,10,30,6,1248,234,221,819
24773,2629,18,42,8,2014,216,197,926
31550,2704,3,0,0,1158,211,237,1974
65332,3266,3,240,33,1992,224,239,1358
62437,2571,13,180,65,1253,192,220,1575
24629,2696,13,108,20,1509,241,220,3416
49763,2912,14,313,77,2922,239,237,3187
45617,3123,15,153,38,1415,194,252,957
109746,3317,18,0,0,2079,209,253,3690
2742,3278,10,350,62,1110,226,218,1812
92409,3120,6,153,22,1200,205,243,1443
72386,3142,12,0,0,4025,237,221,3154
48212,2714,9,60,7,2010,224,246,1230
41714,2822,22,162,32,2201,250,220,1343
10676,3100,9,60,7,3211,197,233,5142
7695,3370,10,741,195,1452,230,243,979
57922,2942,16,95,7,1987,237,207,2952
17723,2607,10,395,-4,726,223,219,794
74564,3122,23,362,45,1498,162,200,2044
73182,3119,17,690,78,987,173,222,1128
35975,2961,9,492,98,2844,212,222,1767
77057,2982,15,402,66,4602,213,207,4133
101640,2978,26,150,15,875,218,174,2188
60242,3187,7,256,29,5816,203,243,2233
50116,3277,12,277,54,4327,190,226,1996
44212,2916,23,335,106,1725,184,254,793
86293,3045,8,95,27,4541,232,239,366
109456,2978,16,108,19,4512,241,210,2414
75759,3346,19,108,27,2137,246,228,886
62558,3172,5,270,67,2632,225,231,1771
72880,2064,34,295,37,350,247,166,760
66409,2311,29,182,114,1260,174,168,698
78259,3480,24,210,73,4023,246,226,3937
19164,3359,9,424,69,3481,225,221,1639
99771,2848,18,285,79,1761,239,202,1839
86534,3037,13,509,-39,5806,223,248,2928
43656,2798,22,351,104,2455,163,209,2193
7863,3315,12,67,11,2938,230,215,2356
35322,2832,13,150,33,2145,184,236,2071
55802,3174,12,67,4,2919,190,245,513
16822,2280,17,108,27,404,190,253,513
44529,3303,12,190,32,5769,212,215,666
45130,3356,9,760,99,911,195,239,2285
3395,3120,17,0,0,1110,174,221,2598
80001,3146,7,124,25,5550,205,230,601
32960,2622,10,242,64,960,220,219,671
81990,2888,18,30,10,1231,245,210,1643
48125,3243,9,390,9,182,206,225,1020
58088,3000,7,170,13,3728,212,227,2292
72892,2959,16,256,-3,4508,246,220,3412
22182,2905,8,0,0,3479,217,223,2385
113793,2788,12,300,45,1682,241,227,2623
41563,3136,14,218,15,2110,211,252,677
52450,2412,28,175,78,819,145,193,1053
23717,3264,19,331,106,902,165,242,2264
44971,2897,16,270,87,277,245,221,725
40921,3099,13,180,50,1679,198,218,450
74994,3210,7,42,11,1006,212,247,1199
98483,3202,17,162,40,1436,244,231,2648
72808,2813,5,277,15,480,229,235,510
47019,3108,21,190,66,270,158,226,1897
28109,2940,18,175,59,1350,190,204,1860
35614,3196,15,324,105,3762,226,247,642
98845,3105,12,277,5,2846,219,212,2974
50436,3172,11,0,0,3818,240,230,3300
98787,2601,27,85,34,934,250,188,3355
32048,3139,11,256,10,6635,238,233,2305
113110,2969,20,470,82,2069,249,208,2619
39575,3315,21,511,30,1524,245,199,2147
16525,3010,11,108,16,765,234,221,2402
91661,2759,11,182,32,1917,208,217,1509
77657,3203,25,984,112,4105,199,253,1112
109202,2890,24,180,88,180,240,187,1053
13059,2863,15,218,55,3985,200,211,5352
60754,2935,13,247,6,1914,239,218,1943
39227,2693,11,0,0,1693,188,240,742
66829,3024,14,319,72,3963,238,213,2377
65967,3210,7,190,19,1448,200,237,400
34327,2857,19,134,4,730,234,199,150
88274,3097,22,547,72,2080,234,189,1931
59841,3308,16,162,38,3352,245,216,1277
38601,2494,5,30,5,1154,221,243,1006
102680,2872,20,300,84,1976,227,194,2110
29760,2951,14,277,23,1869,196,215,2836
82396,2857,5,30,-2,3019,228,237,2758
113945,2827,10,446,51,2343,223,218,2270
56242,2756,7,300,23,2529,227,227,5755
68328,2742,7,301,-7,1538,229,227,1802
40175,3309,29,190,-15,2424,250,214,3606
16391,2688,15,210,71,953,198,210,1831
69620,2914,14,212,68,1864,207,252,1034
7875,2947,10,437,83,3362,236,225,2240
50040,3134,17,400,10,3721,172,238,1438
32111,2032,25,371,110,454,150,243,920
39183,2981,9,190,22,912,223,220,1994
56293,3275,14,433,41,1500,219,208,2362
15340,3237,12,636,54,4052,206,215,3580
50620,2702,25,67,10,2550,243,186,592
93856,3120,14,30,4,2724,181,240,543
110985,2908,5,277,82,994,205,239,1667
99341,3234,12,306,47,2970,187,238,757
15720,2967,2,228,14,4833,217,235,2335
6059,3214,12,212,-17,1784,226,214,1571
68545,3221,14,162,42,4507,180,234,3274
57380,3143,15,30,9,3111,190,213,2256
75566,3372,14,480,86,3814,233,212,2803
21908,2947,5,90,0,2105,227,240,1756
75407,3103,12,283,36,3787,221,214,4231
115819,2736,14,30,4,3273,195,216,6039
144,2615,11,212,15,890,218,249,2340
25535,2783,22,42,13,2311,204,188,799
50332,3109,10,218,-10,1722,196,246,845
13602,3217,25,658,122,6078,148,239,2465
99435,2719,25,150,72,150,235,180,1690
107932,3139,4,781,58,1747,221,231,2796
28156,2757,10,85,0,2285,193,237,3962
42258,2888,10,182,1,892,237,235,2525
26491,2917,5,361,145,1575,226,230,1749
25084,2904,31,774,527,849,124,230,2131
78391,3366,4,0,0,4534,227,236,4427
71674,3156,13,301,18,437,241,233,2059
16188,2835,16,0,0,2496,175,223,940
28083,3205,22,256,66,4696,161,245,3384
96618,2997,10,0,0,2040,198,248,1365
6398,3156,13,579,-9,690,185,228,1706
53016,2820,15,90,20,2496,202,208,1068
99576,2674,17,175,17,3515,242,210,2313
93420,2895,12,466,138,2155,225,247,700
80438,2531,8,0,0,1060,221,246,1933
13620,2742,15,170,-8,1211,202,209,2089
2495,2964,8,342,55,1710,232,227,1806
20135,2086,20,67,22,558,168,246,832
26487,3260,15,162,15,3466,223,249,726
97260,3207,6,400,21,6012,207,245,1917
72841,2874,6,443,56,2366,229,232,2007
66959,2827,19,108,19,4066,182,206,5257
61729,2550,17,60,14,218,229,203,1544
30939,2844,17,180,57,2721,241,208,2832
99078,2955,17,277,115,5846,245,228,4266
108356,2983,19,335,129,5292,163,225,684
76504,2630,20,0,0,1406,162,240,930
13035,2766,21,182,90,2384,226,246,2524
84477,3117,11,240,-57,1421,232,218,1332
57617,2917,12,420,-58,1120,204,251,366
18831,3026,11,85,24,1237,193,229,1455
1472,1948,15,90,28,330,198,211,732
106633,3161,7,60,20,2516,229,241,976
113420,2578,15,361,124,516,196,212,297
32546,3016,14,150,30,446,243,219,1401
32429,3092,13,90,-2,1691,228,212,726
3570,2574,10,543,104,708,203,249,805
97480,3223,34,361,177,3630,250,200,2223
32625,3219,16,598,87,2193,213,203,2439
75134,2612,8,30,-4,1110,233,232,459
3522,3051,15,67,11,4650,228,207,426
8835,3330,18,180,25,1400,235,241,2995
14766,3014,17,0,0,5155,211,201,1968
113130,2848,12,108,13,3148,228,215,4671
31691,2996,13,30,7,908,236,216,2733
25116,3141,7,420,31,1771,215,226,2731
97334,2329,5,255,45,551,227,230,663
24147,3190,23,360,130,1570,151,225,2268
3737,3055,21,228,38,750,164,213,1593
57559,2989,17,335,17,443,236,205,1622
104376,2998,8,671,72,5210,233,232,6097
13203,3027,7,272,19,2334,228,226,878
3095,3218,4,306,-17,552,224,231,2340
90123,3297,3,150,5,5534,210,238,509
110087,3234,16,182,-3,1624,221,203,2780
10433,2753,20,85,21,1552,185,200,2839
90776,3057,6,0,0,1661,204,241,1992
77047,3430,9,573,91,1657,194,239,751
9682,3250,11,319,8,3205,207,250,1558
35752,2441,20,319,190,1549,248,223,430
99868,3101,4,180,16,1468,218,230,1421
6936,2727,6,127,29,2220,229,231,6581
85512,3195,9,371,20,4264,236,233,2852
29636,2823,9,391,50,2436,235,231,2742
12330,2330,8,30,3,1323,234,229,218
105302,3259,14,212,26,1926,243,225,1425
38642,3083,6,361,46,2783,225,227,1477
46194,2773,9,0,0,824,229,221,2546
89235,2714,4,513,83,1332,214,233,1648
4083,3340,16,510,134,1851,210,253,1426
45835,3231,7,95,1,4595,206,229,741
4118,2596,8,95,-5,1484,233,229,1150
64798,2785,9,300,21,836,236,231,633
64865,2871,25,361,155,3062,165,188,1667
16861,2371,15,150,22,560,242,216,700
48084,2051,39,153,103,240,250,160,511
64584,2923,17,497,144,693,246,218,1354
86797,3019,17,272,93,1482,245,213,1423
99079,2672,15,430,-55,1290,244,223,3920
108893,2913,24,150,73,5872,247,225,4362
81183,3013,8,90,-1,1608,233,235,1200
19101,2027,20,42,10,592,211,252,402
42893,2800,9,108,16,912,230,223,2992
77008,3093,9,660,92,2125,217,221,2546
8473,3222,18,150,-13,1237,247,215,2676
99857,3365,9,170,32,966,235,229,3893
78238,3081,4,339,44,1500,225,233,2809
40442,3123,19,309,57,5792,174,249,2163
19980,2852,11,30,1,2621,221,216,2175
64730,2628,34,60,25,1464,252,173,1343
114883,2752,7,120,-1,2538,203,234,1740
8309,2559,10,0,0,309,237,231,1397
70432,2800,13,210,16,2349,224,211,1318
56183,3204,20,726,-19,930,230,194,1879
112073,3043,15,210,52,60,192,214,1142
72919,2424,23,192,91,792,162,204,1082
38837,2930,15,297,122,1731,181,245,1142
67142,2897,15,270,59,882,228,246,2174
20334,2913,20,30,10,4618,249,222,1639
67382,3011,12,127,16,1747,199,220,1652
52876,2863,3,524,95,3627,224,234,6031
51066,2413,4,576,93,655,225,238,1158
19534,3215,24,240,87,1626,245,191,2121
105676,2949,16,90,20,4442,189,211,1884
6717,2711,17,67,25,1560,181,216,3231
18373,2692,14,313,38,912,196,214,1473
5488,3064,7,60,11,1616,201,236,1981
48156,2741,11,192,85,2156,238,232,2706
91001,2795,12,201,34,2093,241,229,3015
57591,2965,9,277,66,3852,217,248,832
31123,2678,19,42,16,1947,182,206,2755
75395,2660,16,192,43,1489,183,218,1380
104366,2612,13,404,48,671,229,211,2837
96113,3027,16,485,111,4575,227,203,3817
26220,2999,10,242,4,2681,228,220,1390
92306,2265,37,85,40,883,132,151,1154
95786,2880,26,120,37,516,208,250,1167
74695,3037,6,525,46,5566,224,228,5301
44463,3064,3,660,-44,6268,224,234,3062
16207,3008,14,95,13,3869,213,209,5474
99493,3277,10,636,129,918,208,222,2133
34271,3396,11,175,23,2311,191,232,2539
81516,2971,13,228,50,1908,188,225,752
45068,2748,13,134,29,1507,203,214,2823
11616,3037,15,134,-5,212,187,216,391
109668,2992,6,458,79,4439,211,246,1919
46139,3351,25,240,51,2297,143,225,2359
97306,3106,13,268,-19,1148,240,221,1024
59448,3131,17,210,55,1155,210,202,926
106741,2521,4,30,-1,2372,224,239,2278
104314,3101,13,180,-25,2436,221,249,1865
60337,2695,22,90,26,2490,242,194,624
88547,3079,4,540,36,630,209,235,741
13053,3275,17,335,-31,1829,185,210,1209
113545,2685,20,124,38,1950,168,212,2263
10341,2949,2,30,-5,5410,221,240,2468
88795,2932,17,108,16,5144,183,251,1699
4604,3293,12,301,20,1878,203,218,1298
115317,3236,8,666,45,1885,198,233,451
82679,3244,13,323,111,2910,202,252,981
112631,2932,16,644,155,1271,215,205,2584
11461,2325,13,67,23,1189,192,219,190
112212,3099,13,511,51,1909,223,248,847
99649,2814,17,255,23,2114,207,201,1989
47516,2740,9,67,4,693,235,230,2197
61199,3113,23,216,14,4669,153,238,3139
92305,3090,12,792,262,4487,231,243,1544
3690,2851,25,570,224,738,210,177,722
16200,3060,9,371,17,454,195,233,541
98136,3015,9,30,3,3399,222,220,768
5464,2182,23,0,0,730,249,197,1001
67830,2620,31,150,92,1590,120,205,1585
39677,2691,14,446,44,1012,210,210,1978
8277,2660,7,255,13,1176,206,229,1406
50935,3034,21,514,-86,1973,157,236,1825
86313,3202,8,162,18,323,198,235,1100
69255,2603,14,234,62,934,243,229,3503
86948,2958,4,503,167,1495,216,231,2347
31190,3298,25,234,66,2563,253,203,2656
79047,2995,12,258,17,5192,223,214,6149
100496,2622,14,277,75,1495,189,221,1679
59062,2779,14,210,18,1398,224,210,1040
36922,2983,19,150,34,2285,249,218,731
104920,2227,34,150,115,700,142,161,300
4961,2930,10,67,6,1357,200,226,3207
89731,3177,12,218,3,5023,223,214,2295
9392,2431,8,540,125,859,227,243,1194
109117,2922,11,60,19,2429,191,242,192
66069,3379,9,408,57,3845,196,240,2125
37244,3260,15,0,0,5716,180,245,722
7794,2851,10,162,25,2352,193,233,2483
8558,2750,37,108,78,1426,251,164,969
20602,2976,14,42,10,1994,196,252,454
68044,3223,12,713,302,1622,240,225,2838
16680,2967,9,0,0,630,207,249,1146
96207,2785,9,95,22,1782,194,238,1972
75468,3499,31,400,106,2315,254,189,3502
104467,3035,25,201,65,1922,185,181,3828
108833,3266,20,351,42,1368,245,230,2412
20958,3291,10,658,127,2509,216,219,2265
70168,2904,20,175,-41,212,245,202,1092
16540,3194,5,0,0,947,226,241,1383
90983,2624,29,256,150,847,207,164,1455
52424,3147,22,212,7,3288,251,215,2659
12700,2883,19,85,23,4878,173,213,4567
92649,3126,8,120,0,871,211,223,1911
65399,2634,14,342,104,768,196,252,1421
85710,2668,13,497,68,960,240,234,2639
51491,3318,17,95,26,4547,226,247,3124
71937,3163,34,162,81,2681,147,247,1354
57555,3177,8,95,10,589,226,244,1307
81584,3158,16,700,-48,541,237,240,1861
99699,2971,16,0,0,258,176,228,324
35433,3095,14,277,1,2282,213,209,1556
105217,3270,5,926,160,1872,210,244,2445
101267,2890,13,228,27,4057,228,212,6323
102342,2915,12,277,117,1795,191,247,1075
18159,2293,13,67,12,162,241,219,391
8601,2603,21,108,41,1165,166,206,738
67727,3035,12,417,-72,525,237,219,1461
111684,2962,13,342,79,5573,241,224,3908
54198,3352,18,579,171,4445,183,252,2565
46679,2409,15,240,59,828,185,217,1550
29828,2370,13,0,0,799,187,227,335
80507,3542,5,283,49,1530,225,230,1106
58625,2936,8,360,36,5475,203,246,4761
5908,2810,14,42,9,2482,187,222,1939
